,校碼,序號,學校名稱,系組名稱,學測檢定標準,,,,,,英聽檢定標準,採計科目及加權,,,,,,,,,,,,,,,,,,,,,,,
dep_id,,,,,國文,英文,數學A,數學B,社會,自然,,數學甲,物理,化學,生物,歷史,地理,公民,國文,英文,數學A,數學B,社會,自然,,,,,,,,,,,
01361,013,30,國立陽明交通大學        ,醫學系(公費),頂標,,頂標,,,,,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01352,013,31,國立陽明交通大學        ,牙醫學系,前標,,前標,,,,A,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01357,013,32,國立陽明交通大學        ,醫學生物技術暨檢驗學系,,,後標,,,,,1.00 ,0.00 ,2.00 ,1.75 ,0.00 ,0.00 ,0.00 ,0.00 ,1.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01358,013,33,國立陽明交通大學        ,生物醫學影像暨放射科學系,,,均標,,,,,1.25 ,1.25 ,1.25 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01356,013,34,國立陽明交通大學        ,物理治療暨輔助科技學系,,,均標,,,,,1.00 ,1.00 ,1.00 ,1.25 ,0.00 ,0.00 ,0.00 ,0.00 ,1.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01351,013,35,國立陽明交通大學        ,護理學系,,,均標,,,,,1.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01353,013,36,國立陽明交通大學        ,生命科學系暨基因體科學研究所,,,均標,,,,,1.00 ,1.00 ,1.25 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,1.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01355,013,37,國立陽明交通大學        ,生物醫學工程學系,,,均標,,,,,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01359,013,38,國立陽明交通大學        ,學士班大一大二不分系,,,均標,,,,,1.00 ,1.00 ,1.25 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,1.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01360,013,39,國立陽明交通大學        ,藥學系,均標,,均標,,,,A,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01401,014,1,淡江大學                ,中國文學學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,0.00 ,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01408,014,2,淡江大學                ,歷史學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,1.50 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01407,014,3,淡江大學                ,資訊與圖書館學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,2.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01419,014,4,淡江大學                ,大眾傳播學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.50 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01423,014,5,淡江大學                ,資訊傳播學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,1.50 ,1.50 ,0.00 ,1.50 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01402,014,6,淡江大學                ,教育科技學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01454,014,7,淡江大學                ,教育與未來設計學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01422,014,8,淡江大學                ,英文學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01441,014,9,淡江大學                ,英文學系全英語學士班,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01420,014,10,淡江大學                ,法國語文學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,2.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01424,014,11,淡江大學                ,德國語文學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,1.50 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01417,014,12,淡江大學                ,西班牙語文學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.50 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01418,014,13,淡江大學                ,日本語文學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.50 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01421,014,14,淡江大學                ,俄國語文學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,2.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01427,014,15,淡江大學                ,財務金融學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.50 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01450,014,16,淡江大學                ,財務金融學系全球財務管理全英語學士班,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,2.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01429,014,17,淡江大學                ,產業經濟學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.50 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01428,014,18,淡江大學                ,國際企業學系經貿管理組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01452,014,19,淡江大學                ,國際企業學系國際商學全英語組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,2.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01426,014,20,淡江大學                ,風險管理與保險學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01432,014,21,淡江大學                ,經濟學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.50 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01431,014,22,淡江大學                ,會計學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01425,014,23,淡江大學                ,企業管理學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01430,014,24,淡江大學                ,統計學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01409,014,25,淡江大學                ,資訊管理學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01410,014,26,淡江大學                ,運輸管理學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01403,014,27,淡江大學                ,公共行政學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,1.50 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01415,014,28,淡江大學                ,管理科學學系(大數據資料分析應用組),,,,後標,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01453,014,29,淡江大學                ,管理科學學系(企業經營與行銷流通組),,,,底標,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01451,014,30,淡江大學                ,外交與國際關係學系全英語學士班,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,0.00 ,0.00 ,1.50 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01445,014,31,淡江大學                ,國際觀光管理學系全英語學士班(海外實習組),,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01416,014,32,淡江大學                ,國際觀光管理學系全英語學士班(全球跨域組),,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01442,014,33,淡江大學                ,全球政治經濟學系全英語學士班,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01414,014,34,淡江大學                ,理學院尖端材料科學學士學位學程,,,,,,,,0.00 ,1.50 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01406,014,35,淡江大學                ,數學學系數學組,,,,,,,,2.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01405,014,36,淡江大學                ,數學學系資料科學與數理統計組,,,,,,,,2.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01437,014,37,淡江大學                ,化學學系化學與生物化學組,,,,,,,,0.00 ,2.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01438,014,38,淡江大學                ,化學學系材料化學組,,,,,,,,0.00 ,2.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01439,014,39,淡江大學                ,物理學系光電物理組,,,,,,,,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01440,014,40,淡江大學                ,物理學系應用物理組,,,,,,,,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01434,014,41,淡江大學                ,建築學系,,,後標,後標,,,,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01411,014,42,淡江大學                ,土木工程學系,,,,,,,,1.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01412,014,43,淡江大學                ,資訊工程學系,,,,,,,,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01443,014,44,淡江大學                ,資訊工程學系全英語學士班,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,2.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01436,014,45,淡江大學                ,機械與機電工程學系光機電整合組,,,後標,均標,,,,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01448,014,46,淡江大學                ,機械與機電工程學系精密機械組,,,後標,均標,,,,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01444,014,47,淡江大學                ,人工智慧學系,,,後標,後標,,,,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01413,014,48,淡江大學                ,電機工程學系電機資訊組,,,均標,均標,,,,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01446,014,49,淡江大學                ,電機工程學系電機通訊組,,,均標,均標,,,,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01447,014,50,淡江大學                ,電機工程學系電機與系統組,,,均標,均標,,,,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01404,014,51,淡江大學                ,化學工程與材料工程學系,,,,,,,,1.50 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01435,014,52,淡江大學                ,航空太空工程學系,,,,,,,,2.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01433,014,53,淡江大學                ,水資源及環境工程學系水資源工程組,,,,,,,,1.50 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01449,014,54,淡江大學                ,水資源及環境工程學系環境工程組,,,,,,,,1.00 ,0.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01519,015,1,逢甲大學                ,機械與電腦輔助工程學系,,,,,,,,1.50 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01530,015,2,逢甲大學                ,纖維與複合材料學系,,,,,,,,0.00 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01513,015,3,逢甲大學                ,工業工程與系統管理學系A組,,,,,,,,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01536,015,4,逢甲大學                ,工業工程與系統管理學系B組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,2.00 ,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01529,015,5,逢甲大學                ,化學工程學系,,,,,,,,2.00 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01517,015,6,逢甲大學                ,航太與系統工程學系,,,,,,,,0.00 ,1.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,1.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01538,015,7,逢甲大學                ,精密系統設計學士學位學程,,,,,,,,2.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01521,015,8,逢甲大學                ,應用數學系A組,,,,,,,,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.75 ,1.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01537,015,9,逢甲大學                ,應用數學系B組,,,,,,,,0.00 ,1.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.75 ,1.00 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01520,015,10,逢甲大學                ,材料科學與工程學系,,,,,,,,1.00 ,1.50 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01531,015,11,逢甲大學                ,環境工程與科學學系,,,,,,,,1.75 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01532,015,12,逢甲大學                ,光電科學與工程學系,,,,,,,,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01510,015,13,逢甲大學                ,會計學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,1.50 ,1.50 ,0.00 ,1.25 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01508,015,14,逢甲大學                ,國際經營與貿易學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.25 ,2.00 ,0.00 ,1.25 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01540,015,15,逢甲大學                ,國際企業管理全英語學士學位學程A組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01551,015,16,逢甲大學                ,國際企業管理全英語學士學位學程B組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01502,015,17,逢甲大學                ,財稅學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,1.50 ,1.50 ,0.00 ,1.50 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01505,015,18,逢甲大學                ,合作經濟暨社會事業經營學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,0.00 ,0.00 ,1.50 ,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01509,015,19,逢甲大學                ,統計學系商業大數據組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,1.50 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01546,015,20,逢甲大學                ,統計學系大數據分析與市場決策組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.50 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01511,015,21,逢甲大學                ,經濟學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,1.00 ,1.50 ,0.00 ,1.50 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01504,015,22,逢甲大學                ,企業管理學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,2.00 ,2.00 ,0.00 ,1.75 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01535,015,23,逢甲大學                ,行銷學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,2.00 ,2.00 ,0.00 ,1.75 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01501,015,24,逢甲大學                ,中國文學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,0.00 ,0.00 ,2.00 ,1.25 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01528,015,25,逢甲大學                ,外國語文學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,0.00 ,0.00 ,1.75 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01523,015,26,逢甲大學                ,資訊工程學系甲組,,,,,,,,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01541,015,27,逢甲大學                ,資訊工程學系乙組,,,,,,,,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,1.50 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01524,015,28,逢甲大學                ,電子工程學系甲組,,,,,,,,1.75 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01516,015,29,逢甲大學                ,電子工程學系乙組,,,,,,,,0.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,1.75 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01525,015,30,逢甲大學                ,電機工程學系甲組,,,,,,,,1.25 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01534,015,31,逢甲大學                ,電機工程學系乙組,,,,,,,,0.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01522,015,32,逢甲大學                ,自動控制工程學系甲組,,,,,,,,1.50 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01548,015,33,逢甲大學                ,自動控制工程學系乙組,,,,,,,,0.00 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,1.00 ,0.00 ,1.75 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01527,015,34,逢甲大學                ,資訊電機學院學士班甲組,,,,,,,,1.50 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01543,015,35,逢甲大學                ,資訊電機學院學士班乙組,,,,,,,,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.50 ,1.25 ,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01526,015,36,逢甲大學                ,通訊工程學系甲組,,,,,,,,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.75 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01547,015,37,逢甲大學                ,通訊工程學系乙組,,,,,,,,0.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.75 ,1.50 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01512,015,38,逢甲大學                ,土木工程學系,,,,,,,,1.50 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01514,015,39,逢甲大學                ,水利工程與資源保育學系,,,,,,,,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01518,015,40,逢甲大學                ,都市計畫與空間資訊學系甲組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,0.00 ,2.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01549,015,41,逢甲大學                ,都市計畫與空間資訊學系乙組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.00 ,0.00 ,2.00 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01515,015,42,逢甲大學                ,運輸與物流學系,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,2.00 ,2.00 ,0.00 ,1.75 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
01503,015,43,逢甲大學                ,土地管理學系A組,,,,,,,,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.50 ,0.00 ,1.50 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,,,,,,,,
